nohup: ignoring input
Device: cuda

=== Epoch 1/100 ===
  Batch 40: Total=0.2165 | loss_classifier: 0.031 | loss_box_reg: 0.074 | loss_mask: 0.106 | loss_objectness: 0.000 | loss_rpn_box_reg: 0.005
  Batch 60: Total=0.2066 | loss_classifier: 0.040 | loss_box_reg: 0.039 | loss_mask: 0.114 | loss_objectness: 0.006 | loss_rpn_box_reg: 0.008
  Batch 80: Total=0.2323 | loss_classifier: 0.029 | loss_box_reg: 0.091 | loss_mask: 0.111 | loss_objectness: 0.001 | loss_rpn_box_reg: 0.000
  Batch 100: Total=0.2447 | loss_classifier: 0.009 | loss_box_reg: 0.041 | loss_mask: 0.191 | loss_objectness: 0.002 | loss_rpn_box_reg: 0.002
  Batch 120: Total=0.3079 | loss_classifier: 0.059 | loss_box_reg: 0.029 | loss_mask: 0.213 | loss_objectness: 0.005 | loss_rpn_box_reg: 0.002
  Batch 140: Total=0.3601 | loss_classifier: 0.063 | loss_box_reg: 0.081 | loss_mask: 0.194 | loss_objectness: 0.012 | loss_rpn_box_reg: 0.010
  Batch 160: Total=0.2729 | loss_classifier: 0.050 | loss_box_reg: 0.052 | loss_mask: 0.169 | loss_objectness: 0.001 | loss_rpn_box_reg: 0.001
  Batch 180: Total=0.2144 | loss_classifier: 0.026 | loss_box_reg: 0.052 | loss_mask: 0.134 | loss_objectness: 0.001 | loss_rpn_box_reg: 0.001
  Batch 200: Total=0.2886 | loss_classifier: 0.036 | loss_box_reg: 0.035 | loss_mask: 0.200 | loss_objectness: 0.006 | loss_rpn_box_reg: 0.011
  Batch 220: Total=0.2073 | loss_classifier: 0.037 | loss_box_reg: 0.043 | loss_mask: 0.124 | loss_objectness: 0.001 | loss_rpn_box_reg: 0.002
  Batch 240: Total=0.1411 | loss_classifier: 0.011 | loss_box_reg: 0.037 | loss_mask: 0.090 | loss_objectness: 0.002 | loss_rpn_box_reg: 0.001
  Batch 260: Total=0.1818 | loss_classifier: 0.020 | loss_box_reg: 0.029 | loss_mask: 0.109 | loss_objectness: 0.018 | loss_rpn_box_reg: 0.005
  Batch 280: Total=0.2779 | loss_classifier: 0.019 | loss_box_reg: 0.047 | loss_mask: 0.179 | loss_objectness: 0.009 | loss_rpn_box_reg: 0.023
  Batch 300: Total=0.3032 | loss_classifier: 0.048 | loss_box_reg: 0.107 | loss_mask: 0.118 | loss_objectness: 0.026 | loss_rpn_box_reg: 0.004
  Batch 320: Total=0.6375 | loss_classifier: 0.176 | loss_box_reg: 0.202 | loss_mask: 0.240 | loss_objectness: 0.003 | loss_rpn_box_reg: 0.017
  Batch 340: Total=0.2739 | loss_classifier: 0.057 | loss_box_reg: 0.066 | loss_mask: 0.147 | loss_objectness: 0.001 | loss_rpn_box_reg: 0.003
  Batch 360: Total=0.3042 | loss_classifier: 0.056 | loss_box_reg: 0.102 | loss_mask: 0.139 | loss_objectness: 0.006 | loss_rpn_box_reg: 0.001
  Batch 380: Total=0.4409 | loss_classifier: 0.065 | loss_box_reg: 0.157 | loss_mask: 0.189 | loss_objectness: 0.016 | loss_rpn_box_reg: 0.014
  Batch 400: Total=0.1904 | loss_classifier: 0.015 | loss_box_reg: 0.053 | loss_mask: 0.117 | loss_objectness: 0.001 | loss_rpn_box_reg: 0.005
Epoch 7 | Avg Loss: 0.2811 | LR: 0.000050

=== Epoch 8/100 ===
  Batch 20: Total=0.5531 | loss_classifier: 0.075 | loss_box_reg: 0.111 | loss_mask: 0.358 | loss_objectness: 0.003 | loss_rpn_box_reg: 0.007
  Batch 40: Total=0.1952 | loss_classifier: 0.025 | loss_box_reg: 0.057 | loss_mask: 0.106 | loss_objectness: 0.001 | loss_rpn_box_reg: 0.006
  Batch 60: Total=0.1681 | loss_classifier: 0.016 | loss_box_reg: 0.049 | loss_mask: 0.097 | loss_objectness: 0.002 | loss_rpn_box_reg: 0.004
  Batch 80: Total=0.1882 | loss_classifier: 0.027 | loss_box_reg: 0.051 | loss_mask: 0.102 | loss_objectness: 0.004 | loss_rpn_box_reg: 0.004
  Batch 100: Total=0.2059 | loss_classifier: 0.023 | loss_box_reg: 0.064 | loss_mask: 0.114 | loss_objectness: 0.002 | loss_rpn_box_reg: 0.003
  Batch 120: Total=0.1269 | loss_classifier: 0.016 | loss_box_reg: 0.037 | loss_mask: 0.070 | loss_objectness: 0.000 | loss_rpn_box_reg: 0.003
  Batch 140: Total=0.1522 | loss_classifier: 0.014 | loss_box_reg: 0.032 | loss_mask: 0.104 | loss_objectness: 0.000 | loss_rpn_box_reg: 0.002
  Batch 160: Total=0.1684 | loss_classifier: 0.008 | loss_box_reg: 0.033 | loss_mask: 0.125 | loss_objectness: 0.000 | loss_rpn_box_reg: 0.002
  Batch 180: Total=0.1238 | loss_classifier: 0.022 | loss_box_reg: 0.028 | loss_mask: 0.071 | loss_objectness: 0.000 | loss_rpn_box_reg: 0.002
  Batch 200: Total=0.1750 | loss_classifier: 0.037 | loss_box_reg: 0.021 | loss_mask: 0.102 | loss_objectness: 0.014 | loss_rpn_box_reg: 0.002
  Batch 220: Total=0.3293 | loss_classifier: 0.036 | loss_box_reg: 0.116 | loss_mask: 0.171 | loss_objectness: 0.001 | loss_rpn_box_reg: 0.005
